,text
705,"Right now 100% of the patients on our Critical Care Covid unit are unvaccinated.

They are young. 
All between 30 - 57 years old.
All eligible for a vaccine.

Severe covid is a preventable disease. 

Please get the Jab and when asked get a booster."
706,My brother’s triple-jabbed - the third one was Pfizer 3-4 wks ago. He’s just got covid &amp; feels ‘rough’ &amp; is isolating. Had a Xmas meal out with a load of mates last Friday - all of them vaccinated - 17 out of 21 of them have now tested positive.
707,Pre Covid was wild https://t.co/dhBzGGw6Fd
708,"Right now 100% of the patients on our Critical Care Covid unit are unvaccinated.

They are young. 
All between 30 - 57 years old.
All eligible for a vaccine.

Severe covid is a preventable disease. 

Please get the Jab and when asked get a booster."
709,"#DemocracySummit
#murderandconspiracy

Story of a Chinese scientist who  prepared virus in lab and spread the COVID pandemic.

9  thrilling murder stories

Read book in English
https://t.co/zFYV1kmWBb https://t.co/iw7C86f78G"
710,"Viral Immunologist, Dr. Byram Bridle, PhD, debunks the narrative that masks protect people from Covid, as he indisputably shows aerosols penetrating 5 surgical masks.

Full video link: https://t.co/bq50SNJZTP https://t.co/jjBUPlLzqY"
711,"In California, younger Latinos are dying of COVID-19 at much higher rates than their white and Asian counterparts. 

Younger Black people also are dying at high rates, but the disparity is starkest for Latinos. https://t.co/NzRzvp3ID9"
712,"SHOCKING: Crisis actor admits playing the part of a patient struggling with COVID-19.

She shows her contract detailing her role, which details she has to pretend she is short of breath. https://t.co/wmUjeqLaq3"
713,@JamesAThurber Covid vaccines have killed orders of magnitude more people than the discontinued swine flu vaccine.
714,"While there’s good here, totally overlooked is media’s role which has idolized Fauci from the left who willingly lies &amp; pushed for definitive answers ignoring we just dont’t know enough, while the right has promoted #COVID spread &amp; lies about what one should do or not do about it https://t.co/C2qrxFprRm https://t.co/iA10dCCXgN"
715,"Why don’t we just let Pfizer run the FDA, CDC and NIH? 
Thank God we still have free speech. 

There’s no need for a fourth dose or any dose for a COVID recovered. There are over 140 studies that detail why that statement is true. https://t.co/iifszCEnrn"
716,"Friend may lose her job. Single mom with 3 kids. Covid recovered and had an adverse reaction to the 1st jab. Doctor won’t write her a note, saying hands are tied and others had even *worse* side effects. 

But this is all so that you can feel safe, right? 🤡"
717,@ktumulty @PostOpinions Our response to Covid from our government shifted from being a political issue to a public health issue.
718,@jeffsprogress One of the curious side stories of covid is how willing people are to openly demonstrate how much they struggle with fairly basic concepts and wearing it like a badge of pride.
719,"It’s time to “stop calling this a pandemic of the unvaccinated,” @DrDebFurrHolden, an epidemiologist who thinks she contracted covid at “super-responsible” wedding, tells @juliejohnson. “We’re seeing more and more breakthrough cases in the vaccinated.”

https://t.co/aqnhCw4onB"
720,"Auba too should pattern up, you can't be breaking Covid bubble by going to Spain for a tattoo."
721,"Positive COVID-19 cases, exposure confirmed at Kingston restaurant: KFL&amp;#038;A Public Health https://t.co/1jGIzcntZV"
722,"BREAKING—“Deeply concerning”—Two doses of a Covid vaccine are not enough to stop you catching the Omicron variant, UK scientists warn. Early analysis showed the vaccines were less effective at stopping #Omicron. But a third booster prevents 75% symptoms.🧵 https://t.co/rFXWDJwOzv"
723,"""Covid passes will not increase uptake of the vaccine but will create a segregated society.""

Clapping hands sign 
@William_Wragg
  tells Boris Johnson at #PMQs why there should be #NoVaccinePassports. https://t.co/ewaI9CsXvl"
724,Friday I visited the home of two patients in recovery from COVID. She was unvaccinated by choice and unfortunately gave it to her immunocompromised vaccinated parent who was hospitalised. She told me she deeply regrets it - can never forgive herself. Now had her first vaccine.🙏🏻
725,"Fucking insanity. It's so pathetic and upsetting to know that I live in a place surrounded by people like this ""demonstrator"" spreading lies, fear, and covid. As Armin mentions, how long will people put up with this shitshow. https://t.co/WSOvFBGDOf"
726,"For anyone dealing with Covid or the flu right now, pls buy a facial steamer and get eucalyptus oil to use with it!
It really helps clear your sinuses and eases your breathing if you find it difficult. Pls RT"
727,Another bit of positivity to cling to - number of people in ICU with Covid in Scotland is down to 33 - that’s the lowest since mid August
728,The ones at practically zero risk of covid are masked. 🤡🌎 https://t.co/ccGmXgsDDH
729,Pa. weekly COVID update: Doctors urge vaccinations as another surge strains hospitals https://t.co/Pf7fztjCu2 https://t.co/8ulrX800WM
730,"Ontario has to change course on providing affordable tests for people.  The province has 35 million tests which haven't been used, and is counting on people buying tests - at Christmas - to keep the province from being crushed by Covid again. https://t.co/PLKVRfGFQ7"
731,"Said it in April 2020 and I’ll say it again — they will never give up their “emergency” powers unless the people rise up at the polls and toss them out.  Do not submit. ⁩

New York Gov. Kathy Hochul imposes mask mandate on omicron Covid worries https://t.co/xotvu5FUqj"
732,My brother’s triple-jabbed - the third one was Pfizer 3-4 wks ago. He’s just got covid &amp; feels ‘rough’ &amp; is isolating. Had a Xmas meal out with a load of mates last Friday - all of them vaccinated - 17 out of 21 of them have now tested positive.
733,🇧🇬 COVID in Europe: Bulgaria's jabbed rate is the lowest in the EU. Only 26.4% are fully jabbed. https://t.co/xwYjL3vlIy
734,"COVID-19 Vienna It's like you always have to put on a happy face, be the pho
VOGA
◥ ツ كؤد IخُصمI ツ ◤ IسًتَاﮯلُﮯI""
GF9_OMG_

🤏🏻.We love a love that was more ␈ https://t.co/z8qY1Wbpm3"
735,"@BarnardResearch @chrischirp @_nickdavies ""the optimistic scenario, hospital admissions are projected to remain below Jan 2021 levels"" 
That means where I live, NI, a third of hospital beds will be taken by Covid patients &amp; with no lockdown that could continue for months. https://t.co/n7SstMRpxT"
736,"""McCullough cites research showing your body will produce the toxic SARS-CoV-2 spike protein for 15 months.""

Search for:
Mercola The COVID Shots Are Killing People"
737,"I'm going to keep repeating this stat but, 60% of ALL covid deaths in England were disabled people last year.

And they had not one but SEVEN Christmas parties and LAUGHED"
738,"By ""out of control"", I mean the overwhelming of NHS hospitals with Covid patients to such an extent that they can treat no more &amp; people effectively die on the streets. Lockdowns are the last-ditch attempt to head off such a public health disaster by a government that has failed. https://t.co/G14awZG3kA"
739,"@laurenboebert While campaigning for the US House, Lauren Boebert called for “dangerous freedom” and likened Covid-19 safety precautions as “peaceful slavery.” Boebert added, “we are at a point right now, in our nation’s history, were it’s time to join or die.” https://t.co/8zyD4TkJal"
740,"In California, younger Latinos are dying of COVID-19 at much higher rates than their white and Asian counterparts. 

Younger Black people also are dying at high rates, but the disparity is starkest for Latinos. https://t.co/NzRzvp3ID9"
741,Horrid year if I'm honest. And none of it was really covid related
742,"Covid-19: Belgian court declares mandatory use of vaccination passport illegal, imposes fine of EUR 5,000 per day https://t.co/j1p7VthMwp"
743,"1/
Covid is not an epidemiological story. Covid is a crime story."
744,I am just glad I live in Florida where freedom and common sense are the norm. People actually think about COVID rationally here without peer pressure and groupthink.
745,"COVID-19 Vienna Happy people plan actions  they don't plan results.
VOGA
◥ ツ كؤد IخُصمI ツ ◤ IسًتَاﮯلُﮯI""
GF9_OMG_

🤏🏻.We love a love that was more ༆ https://t.co/3uZ6oFZILM"
746,@cdnrefusenik Just not seeing the millions upon millions of dead bodies caused by the vaccine. Personally I’ve known zero dead from the vaccine and one from covid. I’m all for personal right to choose whether to take the vaccine but this genocide crap is silly.
747,"BREAKING—“Deeply concerning”—Two doses of a Covid vaccine are not enough to stop you catching the Omicron variant, UK scientists warn. Early analysis showed the vaccines were less effective at stopping #Omicron. But a third booster prevents 75% symptoms.🧵 https://t.co/rFXWDJwOzv"
748,"PSA: The Ontario government’s choice to wait until January 4th to open up third doses of the COVID vaccine to everyone 18 and up, isn’t soon enough."
749,"Dear @BorisJohnson 

I'm an #NHS dr living with #LongCovid after catching Covid through work in 2020

Today 58 drs with LongCovid join many others harmed by Covid (inc bereaved families) in a letter urging you to commit to the UK #CovidInquiry 

We need answers

#CovidInquiryNow https://t.co/PrxUtywZTu"
750,"@glbabbington Hi Gabrielle.
As a parent of a near 2 year old I take this very seriously.
Looks to be better news in here though. Percentage of hospitalised patients under 5 falling.
Caution and more research needed in equal measure I think.
https://t.co/qwk9o11g0e"
751,"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab"
752,"Man puts a pie into this airline CEO for forcing vaccinations 💉 
#covid #Lies https://t.co/7rqoEhqwlr"
753,Inflation hits workers already worn down by COVID-19 - The Wall Street Journal https://t.co/TwtOPWPDMu
754,⁦@seanhannity⁩ ⁦@TuckerCarlson⁩ ⁦@AGJeffLandry⁩ ⁦@tedcruz⁩ ⁦@GovAbbott⁩ ⁦@RonDeSantisFL⁩ misinformation is causing more #mega nation to get sick and die from Covid ⁦@GOPLeader⁩ . Crying Damn Shame.⁦@MSNBC⁩  https://t.co/trHG24lRVO
755,"Viral Immunologist, Dr. Byram Bridle, PhD, debunks the narrative that masks protect people from Covid, as he indisputably shows aerosols penetrating 5 surgical masks.

Full video link: https://t.co/bq50SNJZTP https://t.co/jjBUPlLzqY"
756,"I don't think it gets enough play how there are still 12 red states passing up billions of dollars that haven't expanded Medicaid. And plenty that would just refuse federal money for pre-K. And the same thing for COVID relief, and high speed rail, and probably more..."
757,Covid actors. It's all staged. All of it. https://t.co/6AN2MonXAs
758,"One more time…

COVID did NOT break the economy…the liberal/political REACTION to COVID broke the economy.

As far as the pandemic being under control, I was told by our POTUS that he would crush the virus &amp; that you won’t get COVID if you are vaccinated, so what’s the problem? https://t.co/jo5ZBe7tHW"
759,"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab"
760,"Here's today's team! 📋

We're without a number of players this afternoon as they are having to self-isolate under the strict Covid-19 protocol guidance.

𝗖𝗢𝗠𝗘 𝗢𝗡 𝗬𝗢𝗨 𝗥𝗔𝗠𝗦! 🐏

#DCFC https://t.co/DDjWwpXd2d"
761,"1/
Covid is not an epidemiological story. Covid is a crime story."
762,"""Omicron could cause 75,000 deaths in England by end of April, say scientists

Peak of 2,400 daily hospital admissions is most optimistic scenario if England stays in plan B, say advisers""

Let's not get to spring and then say ""nobody knew"" - they DID! https://t.co/BNTdljpbon"
763,"""It’s hard to look this in the eye. But COVID’s worst is coming"" - Bruce Arthur, @TorontoStar 

https://t.co/BXOq7RpPl6 #covid19BC #Omicron #cdnpoli #bcpoli"
764,Some good questions about B.C. Provincial Health Officer’s uneven &amp; meagre distribution of Rapid COVID-19 tests provided by the federal government. Ministry staff refused to answer reporter’s questions about researchers being offered rapid tests for party. https://t.co/MtxiFrfxix
765,"Online academic conferences showing wide benefit: ending in-person conferences during Covid tied to substantial gains in equity, sustainability and inclusiveness, US team finds in broad data analysis. @pbasken reports
https://t.co/XaE3Z4ih8S https://t.co/xwDtMFYVYN"
766,@bteesbaby Do they do it for Covid?
767,"Amid surge in COVID-19 patients, Yale New Haven Hospital forced to limit who gets potentially life-saving treatment https://t.co/Mr7IOH9g7M"
768,"The idea is to keep punishing the COVID compliant just a bit more and a bit more—so that they, in turn, support ever-greater persecution of the noncompliant."
769,"I dearly wish we could ""just live with it"".

But 1000s of Covid patients in hospital means cancelled cancer ops, staff diverted from diagnostics to Covid care, ambulance delays, overwhelmed A&amp;Es.

Pls get your booster. Pls help us protect *all* patients 🙏
https://t.co/LKrJlwWxab"
770,"Raising funds for Tanveer Ali, a photocopy shop owner who lost his means of earning after covid-19 lockdown. We hv arranged a shop for him but his machine is not in working condition which need repair. 

Kindly help him so he can re set his business.

Target: 12k
DM to contribute https://t.co/TLH4YJCVah"
771,i miss pre covid MAMA :'( https://t.co/b3y7r2cBTL
772,"1 in 4 Black men will get prostate cancer in their lifetime. Black men are less likely to get tested for an STI

This isn't just about Covid. Testing hesitancy is a HUGE issue in our community. The rise of Black conspiracy bro content since Covid is only making that worse https://t.co/0IUMHnioaG"
773,"@nadhimzahawi Please help focus attention on a serious vaccine rollout plan for 5-11s once MHRA approves (can that be sped up?). 6 Omicron  child deaths in SA this week, 77,000 kids with long covid in the UK. Vaccines will really help de-risk situation if you want to aim to keep schools open. https://t.co/FJgi9NrCuJ"
774,"The very same hunt whose leading huntsman was found GUILTY of his dogs being dangerously out of control for killing a family's beloved cat - were awarded £10,000+ from taxpayer funded small business covid grant last year. 

RT if you agree they should give every penny back"
775,"It's happening.

A court in Belgium ruled that the covid passports were illegal."
776,"@EvanMcFarlane We had a Covid-compliant temporary changing room, the generator packed in. We are very sorry, is his real beef not with the regs? (Ok not sure why Killie &amp; Aye also complained)."
777,"US cohort of 17881 Covid-19 vax breakthrough cases (→1121 C19 hospitalizations; 138 C19 deaths): Prior  infection cut breakthrough infection risk of C19 hospitalization in half, risk of C19 death 4-fold, independent of age, sex, comorbidities, &amp; vax type https://t.co/p2yPwbTlUg https://t.co/62EXSKeb2U"
778,"@RobertKennedyJr And they have a great business plan....the more mass vaccinations, the more Covid variants....which leads to more mass vaccinations, which leads to more Covid variants, which leads to...."
779,"5⃣ the same @UKHSA data shows that following a Pfizer booster, vaccine effect is increased against Omicron (71.4% and 75.5% protection vs. symptomatic disease for people who received AZ and Pfizer primary courses, 2 weeks post their boosters)
 https://t.co/0C9bjTasg7"
780,Covid messed up my Graduation big time.. why my school only wants to have one Ceremony a year now I have to wait until May
781,"Tory MPs voting against Covid Plan B “to protect civil liberties”, when this week they voted to give the government powers to strip almost 6 million Brits of their citizenship without notice or notification.

Maybe, just maybe, they don’t really care about civil liberties."
782,"Democracy protects human rights and promotes human dignity. It’s a means to create peace and prosperity. It’s a means to solve our greatest challenges, from COVID-19 to the climate crisis. 

Democracy is our world’s best hope."
783,"even with shitty covid and terrible tragedy, i believe 21 gave me the best character arc in years"
784,"We can also address claims like ""hospitals are always full in winter"", or ""it’s just people who were already in hospital for other reasons catching Covid on the ward""

Here are numbers of people in ICU beds (for any reason) in London hospitals, each winter

Spot the odd one out https://t.co/j7IQMqKtT4"
785,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
786,"If you refuse the COVID vaccine because you ""don't know what is in it"" and are concerned about ""long-term effects"", then you should not:
- smoke
- consume alcohol
- eat processed food
- get any RX and OTC drug that has side-effects
- use recreational drugs

Am I right?"
787,"COVID-19 Vienna If happiness shouldn't make you so miserable, misery shouldn
VOGA
◥ ツ كؤد IخُصمI ツ ◤ IسًتَاﮯلُﮯI""
GF9_OMG_

💪🏻.We love a love that was more ༒ https://t.co/jRI2iOJju6"
788,"COVID-19 Vienna True happiness consists in making others happy.
VOGA
◥ ツ كؤد IخُصمI ツ ◤ IسًتَاﮯلُﮯI""
GF9_OMG_

🤏🏻.We love a love that was more ༆ https://t.co/33fFWauCxB"
789,I invented Covid in order to increase my average viewers on twitch
790,COVID relief funds diverted to NY CRT-style K-12 training via Biden American Rescue Plan | Just The News https://t.co/rjnM83DcGv
791,"Should we believe this story? I think it is grossly exaggerated, and like much else in the Media, promoting fear, hysteria and compliance with policy. Meantime, look at Sweden, better off than us &amp; their neighbours without destroying the country &amp; liberty. https://t.co/R5VYGRkKIQ"
792,@SarahSevans2000 People need to get over it.  It’s funny and actually quite responsible for the rest of your family.  I had Covid once and isolated myself for 10 days in my own house.  Do what you have to do.  Well done🤗
793,"@RealDeniseWelch Totally agree,I was on a hospital corridor for 14hrs, I needed emergency surgery but had to wait because they were no beds! 14hrs is a disgrace! No covid in said hospital x"
794,@MutahiNgunyi It's like @WilliamsRuto is the one who brought covid19 in the world. Dynasties cows attributing covid deaths to individual. This is what is making even those who were not to vote Arap samoei vote him
795,"The Central Epidemic Command Center (CECC) has reported another two imported cases of the COVID-19 #Omicron variant, after confirming the country's first such case earlier Saturday.
https://t.co/RlB12KoAQ2 https://t.co/0QF4let2Fp"
796,@StuVincentPhot1 @purgstallheath @trishgreenhalgh I’d second that. It’s absurd that when we know Covid is airborne to consider removing masks for singing.
797,"@That_London_Guy Good, bc there's something about you dying from covid as an arsenal fan that just seems like God playing a cruel joke lmao"
798,"Whilst everyone was distracted by the Christmas Party at No 10, the UK Government released a report confirming that the fully vaccinated account for 4 in every 5 Covid-19 Deaths in England since August."
799,"All Other Members Of #SuperJunior Test Negative For COVID-19 After #ChoiSiwon Tests Positive
https://t.co/MzGHZr5k62 https://t.co/Zc4aOh5Tji"
800,@GBNEWS Well it looks like Covid is Back for Good!
801,"@kathyok66 @PeterHotez I know how this goes; my sister married an anti-vaxxer 20 years ago. Words, logic, science never mattered. I'm glad you haven't lost someone to covid, or know a nurse who has lost several colleagues treating covid.  Love your neighbor - get vaccinated, but I bet you won't."
802,"@LoveThruCOVID @CabSec_Karlo @ntfcovid19ph @teddyboylocsin @karlo_nograles @Teddybird If someone only read my last tweet. 
It has nothing to do with statistics etc anymore. The issue now is diplomatic relationships. Countries doesn't want to acknowledge each other's covid pass."
803,"""We're seeing more people die at a rate we've never seen die before.
75% are unvaccinated. And the few (vaccinated people) who passed were all more than 6 months out from their shot.
We've not had a single person who's had a booster shot die from Covid.""
https://t.co/f0dv31vd4O"
804,"BREAKING

Popov Christo &amp; Toma Popov From France 🇫🇷 had Withdraw from Badminton World Championship 2021 due to their father tested Positive COVID 19.

GWS!

#BWC2021 
#BWFWorldChampionships2021 https://t.co/KPc6lbYV8k"
805,"Given all of this, we adapt our existing model of SARS-CoV-2 transmission in England to include the Omicron variant. 

The model is fitted to data on COVID-19 deaths, hospitalisations, PCR prevalence and seroprevalence data, as well as vaccination coverage including boosters. https://t.co/Q4VUkoEqJd"
806,"@NejletFiliz @MartinKulldorff @ScottWAtlas @DrJBhattacharya @Hillsdale HONESTLY IF YOU GET VACCINATED OR NOT WE COULD CARE LESS
HOWEVER 
WE THE PEOPLE ARE TIRED OF COVID AND WANT TO GET BACK TO NORMAL LIVES 
VACCINATION HAVE ALWAYS BEEN REQUIRED MANDATORY 
NOBODY IS DOING ANYTHING THATS NOT BEEN APART OF OUR EXISTENCE THUS FAR . https://t.co/HDgIyNvLNg"
807,"Covid death rate plunges to lowest-ever in South Africa, as the very mild variant now accounts for 90% of cases there. 

Wowser. It's over.... https://t.co/fCbfs7uyln"
808,Pfizer's boss says FOURTH jab will be needed and sooner rather than later https://t.co/xB0yuslBGm
809,"Chris Christie says it’s “undeniable” that Trump gave him Covid last year.

I personally don’t give a flying f*ck — how about you?"
810,"Thanks to Covid and a general fear of barbers, I haven't cut my hair in nearly 2 years. Hard to tell right? https://t.co/2s34zE8rtT"
811,"Covid-19 Bereaved Families for Justice statement on exclusive polling revealing third of UK public believe No 10 Christmas parties will lead to more deaths in a new wave. 

68% polled will blame @BorisJohnson or @Conservatives for any undermining of public health measures. 

1/4 https://t.co/jcB8pF06LB"
812,"The Omicron scare, including the knee-jerk flight bans on southern Africa, has come handy to Big Pharma to promote a third vaccine dose and boost revenues. Research indicates that, as part of its natural progression, the Covid virus is becoming more transmissible but less lethal."
813,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
814,"WB | A mosque in Jalpaiguri isn't using loudspeakers for namaz to avoid disturbance in studies of students of a school, during COVID

We're offering namaz without loudspeakers for noise-free classes on our premises. Can't develop the nation without education: Najimul Haque, Imam https://t.co/wXJXrEwwPn"
815,Haven’t been this sick since I had Covid 😭
816,"Sunmary of this 1:39min cut:

- Rei said she’s from space
- Gaeul thinks people (?) from space uses English too bc Rei spoke English
- Wonyoung asking Rei if they have covid in space too &amp; if she’s vaccinated
- Gaeul questioning Wonyoung’s logic bc there’s no air in space

😭😭😭 https://t.co/4QqNLUNapS"
817,These Mfs put me on the COVID floor again 🙄 I’m pissed.
818,"Latest Covid figures in Dorset: Infection rates continue to increase
https://t.co/kMKwN6Pb0U

Download Now
https://t.co/5gSYXtckU1"
819,@TheNirmsy @jdevans141 @fact_covid @NHSEngland How did you manage that? I tried the other day and it wouldn't let me!
820,"Dear @BorisJohnson 

I'm an #NHS dr living with #LongCovid after catching Covid through work in 2020

Today 58 drs with LongCovid join many others harmed by Covid (inc bereaved families) in a letter urging you to commit to the UK #CovidInquiry 

We need answers

#CovidInquiryNow https://t.co/PrxUtywZTu"
821,@Cobain_Hardy Don’t get the Covid vaccine! Cus the vaccine itself IS THE VIRIUS it’s poison !
822,"As Sydney &amp; Melbourne struggle with high Covid infections &amp; Omicron panics Australian government to offer booster a (meagre) month earlier (supply scarcity again?), Queensland decided to open border &amp; ease restrictions. What lunacy is this?"
823,"Florida has a 2.3% COVID positivity rate with no mask or vaccine mandates. We live life, we congregate, and we trust our immune systems. And it works."
824,"Only about one in 10 Americans say that receiving the Covid-19 vaccine would violate their religious beliefs, while about 60% say that too many people are using religion as an excuse to avoid vaccine mandates, a new survey found. https://t.co/AsOdWUsF8L"
825,If a friend confides in me they are suffering from from depression or anxiety I don’t ask if they’re on meds. Because it’s rude and none of my business. So don’t ask me if I’m vaxxed for COVID. Because it’s rude and none of your business. 🤫
826,"@UDepravity climate change is eschatological. So was covid, in its earliest news cycles"
827,The Next Phase of COVID Tyranny: Increase in Stillbirth Rates in Vaxxed Mothers Dismissed by Canadian Health Minister https://t.co/uf0J1eeIfG
828,"All #WannaOne Members Test Negative For COVID-19 + #2021MAMA Pre-Recording Rescheduled
https://t.co/N9O9fUce33 https://t.co/VCW3NdnQrL"
829,"If I end up in ICU with covid-19 don't use it to scare other people to vaxx, it's my choice not to vaxx even if I die, I will die unvaxxed"
830,"so now everyone has AIDS. Can you transmit it throgh sex? Will it be able to do this in the future? Fauci needs to explain this! I knew it! 
Cases of vaccine-induced VAIDS on the rise due to mass covid vaccination"
831,Impossible. All illness is covid. There is only covid. https://t.co/3w1h4GpNQK
832,"For the 22nd time, thousands of French citizens protested against tightening Covid legislation and restrictions. A growing number of people around the globe are joining the resistance against their failing governments. #Manifs11décembre #protests #France #World #Macron https://t.co/8B4gR393bR"
833,"So Goebbels Swinney says more Covid rules next week, well he can fuck right off.
@ScotGovFM"
834,"In their rancour for SilentStrikeDec10,SAC thugs threatened those stores&amp; shops which took part in strike in TaungDwinGyi not to open for 1week–1month on pretext of COVID-19. Plus, itinerant sellers were BANNED to sell in downtown this morning. #Dec11Coup #WhatsHappeningInMyanmar"
835,@not_a_heather Sara watches Grey’s Anatomy and there’s a disclaimer at the beginning of each new episode that says “this takes place in a fictional setting where the COVID-19 pandemic ended”
836,"@jgettbtc Covid is the big one. It’s not so much what is believed. It’s the certainty. I’m open to all ideas but if I’m going to cement a worldview, I need to be damn sure and set myself a high bar. It’s a topic I avoid on here though, there’s just so much confirmation bias."
837,"Covid proved this beyond doubt:

""It is dangerous to be right in matters on which the established authorities are wrong.""
—Voltaire"
838,"@mieyolisa I learned not to plan anymore, especially during this covid times, I was supposed to travel to the north today but I'm here recovering from covid19."
839,"@LarsenDisney @RoxanneLJames @ClaireH37444648 ...its adverse reactions to the jab that are causing the problems (and numerous intreated conditions, which are now much much worse due to Covid restrictions)."
840,"LRT: I’m not sure if the thread is about trans kids, something covid-related, or something else entirely, but it applies to so, so many things."
841,Sen. @amyklobuchar is a cancer patient. @tedcruz made the conscious decision to potentially expose her to COVID by refusing to wear a mask. https://t.co/jaFlEEPosM
842,"The amount of abuse scientists and doctors get for simply stating the facts about Covid-19 and the pandemic is unreal

Our jobs is only to analyse and give information based on data, or to treat those who are sick

We do not decide policy or rules, that’s for elected officials"
843,"Given we’re still in a bit of flux around Covid, how are you thinking about or handling your year end? Plow forward? Take your foot off of the gas for a moment? Or full decompress? https://t.co/JqNaoUY0jC"
844,"@vrf_rotondo @Colethewolf ""actress"". 
""Playing a scientist"".
We're talking about HER CHOICE and HER LIFE. Anyone with a vax fan also pass the virus along to anyone on set. If everyone is vaxxed, how is she hurting them any more than vaxxed person carrying Covid? Please explain..."
845,A really nice older dude I know just died  from Covid. His head was all twisted up by TFG/GQP/Fox news and of course he was unvaccinated. I tried to convince him he was being led down the wrong path by people who were likely vaccinated themselves :(
846,My brother’s triple-jabbed - the third one was Pfizer 3-4 wks ago. He’s just got covid &amp; feels ‘rough’ &amp; is isolating. Had a Xmas meal out with a load of mates last Friday - all of them vaccinated - 17 out of 21 of them have now tested positive.
847,"“There’s extensive evidence that appealing to fear motivates people to avoid dangers….But as intense as fear feels as an emotional state, it’s also fleeting, which can reduce its effectiveness at motivating continuing behavior change.” https://t.co/qE37UF8p1q"
848,"Bhakdi talking now on Doctors 4 Covid Ethics hosted by
https://t.co/uq7kiiDGgn 
The vaccines don't work &amp; could never work - explained in a way that a 6 year old child could understand. The art of communication exemplified. https://t.co/bJPyUCNzSh"
849,"I stopped listening to ""experts"" long before Covid arrived. Covid has justified that decision more than anything else."
850,"In my opinion (others welcome) the data suggest that 
1) everybody will be infected regardless of vax strategy within next few years
2) we can't &amp; don't need to boost broadly except perhaps once for first year's hybrid immunity
3) covid-19 shoud eventually be a childhood disease"
851,"@Hueynomics Exactly why I got it. 

I don’t want Covid, but il live, can’t say the same for my family tho."
852,"PSA for Sandoval County Business owners: There are ARPA funds available for small businesses to offset the economic impact of covid. Easy application process, showing 2018 or 2019 tax returns compared to 2020. 

https://t.co/Thd5PPfADh

Deadline is 12/31. Simple application. https://t.co/CnxUsVJGee"
853,COVID relief funds diverted to CRT-style K-12 training in New York via Biden American Rescue Plan | Just The News https://t.co/rjnM83DcGv
854,Bottlenecks in COVID-19 booster rollout mean some Oregonians might not get boosters until March https://t.co/DbLdTLDkZB https://t.co/SQGc2L0Yss
855,"Modelling suggests the Omicron variant could cause a larger wave than in January 2021 if no additional control measures are taken.

Sky’s @M_Veselinovic has the latest.

Read more here: https://t.co/fTDCJTsBlG https://t.co/9gpksPFc7X"
856,Covid: Omicron study suggests major wave in January - BBC News https://t.co/SKbjdXzToR
857,"Last January Steve Baker did a warning shot to Johnson on lockdown 
He also said there better not be lockdown next winter, ie now 
He claims Freedoms for the poor, yet voted for working poor to be poor ! 
I believe ERG behind leaks 
#ToryCovidCatastrophe
https://t.co/f0DjdEAfKh"
858,"I had COVID last December. I was good and sick for about 4 days. I didn't die despite being overweight, having type II diabetes, copd and breast cancer. I'm willing to expose myself to it again to keep my natural immunity up.

I will not live my life in fear of anything. https://t.co/o3Ub7NzsEZ"
859,"So since he became PM he has dealt with Brexit &amp; Covid. Would anyone like to suggest the last time a peacetime PM dealt with bigger issues together?

And he's being baited over Peppa Pig, wallpaper and a party he wasn't at.

Compare and contrast, is all I would say."
860,"Friend may lose her job. Single mom with 3 kids. Covid recovered and had an adverse reaction to the 1st jab. Doctor won’t write her a note, saying hands are tied and others had even *worse* side effects. 

But this is all so that you can feel safe, right? 🤡"
861,Sen. @amyklobuchar is a cancer patient. @tedcruz made the conscious decision to potentially expose her to COVID by refusing to wear a mask. https://t.co/jaFlEEPosM
862,"Scotland is due £145 million in Covid business support in Barnett consequentials from the British Gov 
The British Gov were due to hand over the money in March 
The Tories have failed Scottish businesses yet again."
863,"For the past year I had been thinking that COVID had destroyed America’s public school system,

Now I am beginning to believe that it may have saved it. 

#ZebraJockey"
864,"The amount of abuse scientists and doctors get for simply stating the facts about Covid-19 and the pandemic is unreal

Our jobs is only to analyse and give information based on data, or to treat those who are sick

We do not decide policy or rules, that’s for elected officials"
865,"@RamCinemas Remember it 

Master saves you at pandemic COVID period , i will accept it 

But #Karnan saves you from Master😊. 

So.... 

"" GLOBAL STAR DHANUSH ""
#Maaran #AtrangiRe https://t.co/Zucf71M9WV"
866,"Tonight we welcome @evanescence + @Halestorm to Little Caesars Arena! 

🚪 Doors open at 6:30PM
🎶 Show begins at 7:30PM
ℹ️ Guests must provide proof of COVID-19 vaccination OR proof of a negative COVID-19 test within 72 hours prior to entering the venue: https://t.co/CdLWFmXkf6 https://t.co/kf46wIqGPH"
